0.000000000000000000e+00,0.000000000000000000e+00
-6.277061067521572113e-03,-1.000000000000000000e+00
-1.255412213504314423e-02,-2.000000000000000000e+00
-1.883118227124214172e-02,-3.000000000000000000e+00
-2.510824427008628845e-02,-4.000000000000000000e+00
-3.152322024106979370e-02,-5.000000000000000000e+00
-3.829261660575866699e-02,-6.000000000000000000e+00
-4.543599486351013184e-02,-7.000000000000000000e+00
-5.298319086432456970e-02,-8.000000000000000000e+00
-6.097374483942985535e-02,-9.000000000000000000e+00
-6.945791095495223999e-02,-1.000000000000000000e+01
-7.849606871604919434e-02,-1.100000000000000000e+01
-8.816258609294891357e-02,-1.200000000000000000e+01
-9.854902327060699463e-02,-1.300000000000000000e+01
-1.097691506147384644e-01,-1.400000000000000000e+01
-1.219670102000236511e-01,-1.500000000000000000e+01
-1.353265047073364258e-01,-1.600000000000000000e+01
-1.500866562128067017e-01,-1.700000000000000000e+01
-1.665677577257156372e-01,-1.800000000000000000e+01
-1.852117478847503662e-01,-1.900000000000000000e+01
-2.066441476345062256e-01,-2.000000000000000000e+01
-2.318122684955596924e-01,-2.100000000000000000e+01
-2.622244358062744141e-01,-2.200000000000000000e+01
-3.004812598228454590e-01,-2.300000000000000000e+01
-3.516059517860412598e-01,-2.400000000000000000e+01
-4.271861016750335693e-01,-2.500000000000000000e+01
-5.638245940208435059e-01,-2.600000000000000000e+01
-9.358803629875183105e-01,-2.700000000000000000e+01
-1.558580398559570312e+00,-2.800000000000000000e+01
-2.186286926269531250e+00,-2.900000000000000000e+01
-2.813993453979492188e+00,-3.000000000000000000e+01
