0.000000000000000000e+00,0.000000000000000000e+00
-6.219799630343914032e-03,-1.000000000000000000e+00
-1.243959926068782806e-02,-2.000000000000000000e+00
-1.865939795970916748e-02,-3.000000000000000000e+00
-2.487919852137565613e-02,-4.000000000000000000e+00
-3.120284155011177063e-02,-5.000000000000000000e+00
-3.783603012561798096e-02,-6.000000000000000000e+00
-4.480907320976257324e-02,-7.000000000000000000e+00
-5.215744674205780029e-02,-8.000000000000000000e+00
-5.992279201745986938e-02,-9.000000000000000000e+00
-6.815424561500549316e-02,-1.000000000000000000e+01
-7.691021263599395752e-02,-1.100000000000000000e+01
-8.626075834035873413e-02,-1.200000000000000000e+01
-9.629084914922714233e-02,-1.300000000000000000e+01
-1.071048900485038757e-01,-1.400000000000000000e+01
-1.188330054283142090e-01,-1.500000000000000000e+01
-1.316400170326232910e-01,-1.600000000000000000e+01
-1.457389444112777710e-01,-1.700000000000000000e+01
-1.614113450050354004e-01,-1.800000000000000000e+01
-1.790398806333541870e-01,-1.900000000000000000e+01
-1.991620361804962158e-01,-2.000000000000000000e+01
-2.225646376609802246e-01,-2.100000000000000000e+01
-2.504611313343048096e-01,-2.200000000000000000e+01
-2.848555445671081543e-01,-2.300000000000000000e+01
-3.293816447257995605e-01,-2.400000000000000000e+01
-3.915801048278808594e-01,-2.500000000000000000e+01
-4.907954931259155273e-01,-2.600000000000000000e+01
-6.997900605201721191e-01,-2.700000000000000000e+01
-1.321768999099731445e+00,-2.800000000000000000e+01
-1.943749189376831055e+00,-2.900000000000000000e+01
-2.565729379653930664e+00,-3.000000000000000000e+01
